"","commarea","geoid10","community"
"671","72","17031720400","BEVERLY"
"672","53","17031530400","WEST PULLMAN"
"673","6","17031063400","LAKE VIEW"
"674","75","17031750600","MORGAN PARK"
"675","4","17031040100","LINCOLN SQUARE"
"676","4","17031040600","LINCOLN SQUARE"
"677","4","17031040700","LINCOLN SQUARE"
"678","4","17031040900","LINCOLN SQUARE"
"679","76","17031980000","OHARE"
"680","8","17031081600","NEAR NORTH SIDE"
"681","8","17031081700","NEAR NORTH SIDE"
"682","25","17031251300","AUSTIN"
"683","25","17031251400","AUSTIN"
"684","25","17031251500","AUSTIN"
"685","25","17031251900","AUSTIN"
"686","26","17031260700","WEST GARFIELD PARK"
"687","60","17031600900","BRIDGEPORT"
"688","61","17031611200","NEW CITY"
"689","6","17031062800","LAKE VIEW"
"690","6","17031062900","LAKE VIEW"
"691","6","17031063000","LAKE VIEW"
"692","6","17031063100","LAKE VIEW"
"693","6","17031063200","LAKE VIEW"
"694","11","17031110200","JEFFERSON PARK"
"695","25","17031251600","AUSTIN"
"696","25","17031251700","AUSTIN"
"697","25","17031251800","AUSTIN"
"698","57","17031570300","ARCHER HEIGHTS"
"699","57","17031570400","ARCHER HEIGHTS"
"700","10","17031100600","NORWOOD PARK"
"701","6","17031062200","LAKE VIEW"
"702","10","17031100700","NORWOOD PARK"
"703","26","17031261000","WEST GARFIELD PARK"
"704","6","17031062600","LAKE VIEW"
"705","11","17031110100","JEFFERSON PARK"
"706","26","17031260900","WEST GARFIELD PARK"
"707","27","17031270500","EAST GARFIELD PARK"
"708","52","17031520100","EAST SIDE"
"709","61","17031611400","NEW CITY"
"710","61","17031610300","NEW CITY"
"711","61","17031610800","NEW CITY"
"712","61","17031611000","NEW CITY"
"713","6","17031062700","LAKE VIEW"
"714","12","17031120300","FOREST GLEN"
"715","27","17031271800","EAST GARFIELD PARK"
"716","52","17031520400","EAST SIDE"
"717","26","17031260500","WEST GARFIELD PARK"
"718","26","17031260600","WEST GARFIELD PARK"
"719","58","17031580700","BRIGHTON PARK"
"720","6","17031061200","LAKE VIEW"
"721","59","17031590500","MCKINLEY PARK"
"722","59","17031590600","MCKINLEY PARK"
"723","59","17031590700","MCKINLEY PARK"
"724","60","17031600600","BRIDGEPORT"
"725","60","17031600700","BRIDGEPORT"
"726","6","17031060400","LAKE VIEW"
"727","6","17031060500","LAKE VIEW"
"728","6","17031060900","LAKE VIEW"
"729","6","17031061000","LAKE VIEW"
"730","6","17031062000","LAKE VIEW"
"731","6","17031062100","LAKE VIEW"
"732","26","17031260400","WEST GARFIELD PARK"
"733","26","17031260800","WEST GARFIELD PARK"
"734","63","17031630800","GAGE PARK"
"735","10","17031100300","NORWOOD PARK"
"736","10","17031100400","NORWOOD PARK"
"737","10","17031100500","NORWOOD PARK"
"738","28","17031283100","NEAR WEST SIDE"
"739","27","17031271200","EAST GARFIELD PARK"
"740","61","17031610400","NEW CITY"
"741","61","17031611100","NEW CITY"
"742","61","17031611300","NEW CITY"
"743","6","17031062300","LAKE VIEW"
"744","6","17031062500","LAKE VIEW"
"745","7","17031070700","LINCOLN PARK"
"746","7","17031071100","LINCOLN PARK"
"747","7","17031071300","LINCOLN PARK"
"748","14","17031140200","ALBANY PARK"
"749","7","17031070600","LINCOLN PARK"
"750","12","17031120400","FOREST GLEN"
"751","13","17031130100","NORTH PARK"
"752","13","17031130200","NORTH PARK"
"753","14","17031140100","ALBANY PARK"
"754","28","17031283200","NEAR WEST SIDE"
"755","14","17031140400","ALBANY PARK"
"756","29","17031292400","NORTH LAWNDALE"
"757","28","17031282700","NEAR WEST SIDE"
"758","29","17031292500","NORTH LAWNDALE"
"759","30","17031300600","SOUTH LAWNDALE"
"760","30","17031300700","SOUTH LAWNDALE"
"761","28","17031282800","NEAR WEST SIDE"
"762","28","17031283800","NEAR WEST SIDE"
"763","29","17031290900","NORTH LAWNDALE"
"764","29","17031291600","NORTH LAWNDALE"
"765","63","17031630200","GAGE PARK"
"766","27","17031271300","EAST GARFIELD PARK"
"767","28","17031280900","NEAR WEST SIDE"
"768","61","17031611700","NEW CITY"
"769","61","17031612100","NEW CITY"
"770","7","17031070300","LINCOLN PARK"
"771","30","17031300500","SOUTH LAWNDALE"
"772","29","17031291200","NORTH LAWNDALE"
"773","62","17031620300","WEST ELSDON"
"774","62","17031620400","WEST ELSDON"
"775","63","17031630100","GAGE PARK"
"776","63","17031630300","GAGE PARK"
"777","63","17031630400","GAGE PARK"
"778","63","17031630500","GAGE PARK"
"779","11","17031110300","JEFFERSON PARK"
"780","11","17031110400","JEFFERSON PARK"
"781","28","17031280100","NEAR WEST SIDE"
"782","12","17031120100","FOREST GLEN"
"783","28","17031280800","NEAR WEST SIDE"
"784","12","17031120200","FOREST GLEN"
"785","27","17031271400","EAST GARFIELD PARK"
"786","7","17031071000","LINCOLN PARK"
"787","28","17031281900","NEAR WEST SIDE"
"788","55","17031550100","HEGEWISCH"
"789","7","17031071200","LINCOLN PARK"
"790","61","17031611500","NEW CITY"
"791","61","17031611800","NEW CITY"
"792","61","17031611900","NEW CITY"
"793","61","17031612000","NEW CITY"
"794","62","17031620100","WEST ELSDON"
"795","62","17031620200","WEST ELSDON"
"796","7","17031070200","LINCOLN PARK"
"797","7","17031070400","LINCOLN PARK"
"798","7","17031070500","LINCOLN PARK"
"799","13","17031130300","NORTH PARK"
"800","29","17031292200","NORTH LAWNDALE"
"801","63","17031630900","GAGE PARK"
